4780
1569	一一	5
1570	一万	5
1571	一下	288
1394	一下子	2
1573	一世	2
1578	一个	1009
1677	一个三岁	618
210	一个个	5
372	一个几岁	19
1063	一个劲	2
2121	一个十多岁	259
2351	一个四十	79
1295	一个四十多岁	406
877	一个多	9
2034	一个月	10
1580	一中	57
1598	一些	13
384	一亿三千万	2
1621	一件	5
1624	一份	4
1630	一伙	2
5241	一伙人	2
1629	一会	16
2548	一会儿	2
1640	一位	60
2654	一全	25
4442	一共	5
2656	一具	2
2674	一出	2
2505	一刀	39
1442	一分钟	2
1446	一分钱	27
468	一切	18
2511	一则	6
2517	一到	37
2519	一刻	6
1099	一千二百	8
952	一千块	8
1643	一千多	5
2575	一发	2
2577	一句	58
2578	一只	22
2581	一台	3
2583	一叶	2
2778	一同	2
2779	一名	46
5217	一味	3
2815	一品	6
2735	一场	8
1812	一大堆	2
456	一大笔	6
2261	一天	41
2270	一女	3
2293	一姐	2
2189	一定	62
2192	一家	142
1407	一家人	24
2204	一对	5
1935	一封信	8
2418	一小	3
2422	一层	4
2438	一岁	2
4889	一巴掌	2
2307	一带	27
2310	一帮	5
2321	一幕	3
2629	一年	6
2669	一度	2
2818	一张	92
2384	一律	2
2401	一心	4
2193	一手	2
377	一批	19
381	一把	27
699	一旦	21
703	一时	3
599	一朵	3
609	一条	18
632	一查	6
4775	一查到底	22
97	一栋	3
100	一样	39
102	一根	4
120	一梦	2
137	一棵	2
158	一楼	3
56	一次	29
330	一款	3
75	一步	2
87	一段	3
303	一泡	2
1168	一点	51
214	一点点	2
1059	一片	7
1136	一班	8
1369	一生	65
1237	一百	41
2826	一百万	3
1849	一百多	5
5443	一百多个	4
1265	一直	19
1272	一看	5
1280	一眼	2
450	一瞬间	2
870	一种	12
871	一秒	3
740	一站	2
752	一笑	2
788	一篇	3
4726	一系列	3
894	一级	3
5488	一线	8
899	一组	3
939	一群	22
5628	一股	2
4596	一般	3
4606	一艘	2
4341	一诚	2
4557	一起	150
4581	一路	26
4441	一身	3
4288	一车	2
4474	一辆	38
5362	一辈子	7
4482	一边	3
5415	一部	4
5514	一针见血	2
5596	一键	4
5637	一闻	2
2256	一阵风	3
5483	一院	5
5525	一面	26
5134	一黑	2
5310	丁丁	3
3024	丁月卉	10
1774	七个	3
2020	七十岁	5
2955	七口	53
2216	七名	3
66	七月	2
2381	七百多	5
498	七窍流血	11
849	万一	4
538	万元	3
681	万分	8
4461	万劫不复	2
90	万岁	2
27	万州	2
2626	万查	2
4150	万能	7
3661	万达	2
58	丈夫	2
744	三个	52
2364	三中	46
714	三亚	26
628	三十五	2
841	三十公里	2
604	三原	2
592	三友	12
484	三名	119
354	三大	2
351	三天	2
107	三岁	26
101	三峡	2
38	三年	6
2648	三无	4
2574	三月	4
2489	三楼	2
2413	三次	13
2390	三死	6
2281	三流	2
2052	三点	2
1788	三百	2
146	三轮车	2
3342	三问	2
999	上传	10
400	上全	5
528	上前	2
487	上千	8
1386	上千人	14
485	上升	15
2912	上午	36
139	上学	7
297	上当	3
3278	上当受骗	21
2825	上来	9
2235	上次	2
2352	上海	75
2354	上海市	25
3107	上海市浦东新区	3
2419	上海浦东	16
2464	上源	3
2441	上演	2
2805	上虞	3
3844	上车	13
3808	上边	2
3499	上面	6
2908	上饶	3
4513	下列	2
4547	下午	38
4575	下去	6
3665	下来	5
3699	下架	11
4226	下次	2
3954	下流	2
2566	下跪	2
2636	下车	9
1506	下雨	3
1526	下面	9
5464	不上	3
5436	不了	33
5438	不予	36
3883	不予理睬	23
3087	不亚于	3
5425	不仅	2
5419	不会	32
5404	不但	4
4082	不信	2
5264	不信谣	3
4481	不停	3
4430	不再	8
4427	不冲	2
4572	不利	3
4574	不到	99
4511	不去	3
4496	不可	5
4342	不吃	2
4820	不堪	3
630	不够	2
4761	不好	3
4754	不如	7
4845	不守	2
4234	不对劲	5
4672	不少	3
4590	不已	4
4724	不幸	5
5578	不得	2
5156	不得不	3
1432	不得好死	3
3800	不怕	2
3774	不悔	2
3764	不想	13
3756	不愿	2
3896	不成	2
3860	不拘	2
1966	不拘小节	5
910	不放过	3
3562	不敢	20
5162	不敢相信	3
3551	不断	11
3705	不明	4
1641	不明真相	3
2749	不易	4
3693	不是	233
3660	不服	3
3621	不查	3
4190	不止	17
3978	不求	8
2375	不法分子	2
4037	不满	22
3086	不烂	7
3077	不然	7
2950	不理	5
2903	不用	27
327	不眠不休	17
2957	不知	11
2924	不知真假	3
3468	不管	16
2372	不肯	2
2374	不育	2
2361	不能	33
3893	不能不	5
2762	不行	6
2692	不要	411
1197	不要脸	4
2679	不见	4
2791	不让	12
2794	不许	2
2795	不论	3
1685	不详	6
2780	不说	3
2534	不起	2
2619	不转	3
2590	不过	11
2599	不远	8
708	不远万里	12
1671	不通	5
1601	不配	2
1423	不长	2
1403	不问	4
2021	不顾	2
4372	丑丑	2
777	专修	13
5010	专偷	361
4409	专卖店	2
5363	专家	8
5559	专属	4
2906	专抢	3
3084	专来	9
3867	专用	3
4066	专科	2
1485	专职	9
2485	专门	19
2140	世人	6
513	世界	89
19	世纪	21
4855	世道	2
1732	丘北	2
2673	业主	3
1736	业务	2
1647	东丽	3
4315	东仔	2
2593	东兰	5
583	东兰县	6
2522	东北	2
2857	东哥	2
668	东方	3
271	东海	2
827	东湿抚	2
4207	东莞市	2
4352	东西	51
932	丝来	2
634	丢下	3
626	丢个	9
608	丢人	2
1174	丢失	7
5254	两万	9
4386	两万四千	27
5245	两个	70
3497	两人	3
1840	两公里	2
4800	两名	4
4286	两大	2
4285	两天	13
4510	两张	26
3636	两次	10
3623	两步	2
3281	两点	3
2646	两艘	11
1975	两门	2
861	严厉	9
1434	严惩	4
3955	严惩凶手	3
1751	严查	4
2570	严禁	2
2896	严肃	3
1402	严肃处理	5
3619	严重	76
5629	个个	4
5600	个人	22
3716	个旧	2
3001	丫丫	3
3802	丫头	4
1847	中产阶级	2
4145	中医	2
5335	中医院	9
4124	中午	22
4123	中华	9
3925	中国	512
700	中国人民解放军	22
1055	中国使馆	23
4687	中国政府	6
5500	中国海关	4
1691	中国电信	2
4806	中国移动	2
1825	中国联通	2
1043	中國	12
3873	中央	52
1463	中央台	127
5418	中央电视台	4
3765	中学	42
4105	中学校长	2
2712	中学生	9
5547	中山路	2
124	中巴车	4
3597	中心	23
778	中心医院	30
4920	中心小学	4
4639	中有	3
4657	中查	3
4475	中毒	6
5297	中百	2
4379	中秋节	2
1193	中美若	3
269	中街	2
1066	中队	42
2026	丰南	2
2003	丰县	2
1642	丰富	2
1203	丰收	2
518	丰田	5
4847	丰都	2
3673	丰都县	6
1622	临全	2
4359	临时	3
1364	临武	3
3718	临汾市	21
1095	临沂	4
4460	临沂市	7
1088	临海	68
2591	丹东市	4
1284	丹丹	3
3094	丹阳	2
37	为了	81
3712	为什么	54
79	为何	5
1189	为啥	3
4253	为止	8
4248	为此	2
277	主人	2
265	主任	17
